Auction ID,Status,Minimum Bid,Open Date/Time,Close Date/Time,Attorney,Debt Amount,Book/Writ,OPA,Address,County,Sale Type,Final Bid,Page Status,Num Bids,Auction Closed,Page Min Bid (check),Delta vs Min Bid,% Over Min Bid,Delta vs Debt,Fetch Note
1275357,Preview,37600,07-07-26 10:00 AM,07-07-26 01:00 PM,HILL WALLACK LLP,274634,2602-371,522145900,5818 WOODCREST AVENUE PHILADELPHIA PA 19131,Philadelphia,MORTGAGE FORECLOSURE,179000,Sold to Plaintiff,11,07-07-26 01:00 PM ET,37600,141400,376.1,-95634,
1276415,Preview,39600,07-07-26 10:00 AM,07-07-26 01:00 PM,"CONSOLE MATISON, LLP",844595,2607-301,871000192,1309 FRANKFORD AVENUE PHILADELPHIA PA 19125,Philadelphia,MORTGAGE FORECLOSURE,61000,Sold to Plaintiff,11,07-07-26 01:14 PM ET,39600,21400,54.0,-783595,
1276421,Preview,25900,07-07-26 10:00 AM,07-07-26 01:00 PM,BARLEY SNYDER LLP,128730,2607-308,234231200,4726 OAKLAND STREET PHILADELPHIA PA 19124,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1278601,Preview,14000,07-07-26 10:00 AM,07-07-26 01:00 PM,"STERN & EISENBERG, PC",67529,2607-311,453391700,2247 LARUE STREET PHILADELPHIA PA 19137,Philadelphia,MORTGAGE FORECLOSURE,67690,Sold to Plaintiff,1,07-07-26 01:00 PM ET,14000,53690,383.5,161,
1278613,Preview,13900,07-07-26 10:00 AM,07-07-26 01:00 PM,KML LAW GROUP PC,10859,2607-324,252408800,3129 JANNEY STREET PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1278619,Preview,8500,07-07-26 10:00 AM,07-07-26 01:00 PM,"STERN & EISENBERG, PC",124419,2607-330,871545970,6140 LANSDOWNE AVENUE PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,31000,Sold to Plaintiff,4,07-07-26 01:03 PM ET,8500,22500,264.7,-93419,
1278688,Preview,13500,07-07-26 10:00 AM,07-07-26 01:00 PM,THE MANLEY LAW FIRM LLC,35108,2604-401,888581603,110-30 BYBERRY ROAD PHILADELPHIA PA 19116,Philadelphia,MORTGAGE FORECLOSURE,,Postponed,,07-07-26 01:00 PM ET,,,,,
1279060,Preview,18400,07-07-26 10:00 AM,07-07-26 01:00 PM,HILL WALLACK LLP,197668,2607-333,452005600,2059 EAST ALLEGHENY AVENUE PHILADELPHIA PA 19134,Philadelphia,MORTGAGE FORECLOSURE,54200,Sold to Plaintiff,14,07-07-26 01:08 PM ET,18400,35800,194.6,-143468,
1279072,Preview,11300,07-07-26 10:00 AM,07-07-26 01:00 PM,"MCCABE WEISBERG & CONWAY, LLC",93708,2607-345,342198400,1717 NORTH 60TH STREET PHILADELPHIA PA 19151,Philadelphia,MORTGAGE FORECLOSURE,103100,Sold to Plaintiff,14,07-07-26 01:02 PM ET,11300,91800,812.4,9392,
1279078,Preview,12400,07-07-26 10:00 AM,07-07-26 01:00 PM,THE LAW OFFICE OF GREGORY JAVARDIAN LLC,222551,2607-351,603054200,5353 IRVING STREET PHILADELPHIA PA 19139,Philadelphia,MORTGAGE FORECLOSURE,141000,Sold to Plaintiff,22,07-07-26 01:28 PM ET,12400,128600,1037.1,-81551,
